Disease	Type	Country	Symptom	Transmission
Tuberculosis	bacteria	india ; uganda ; france ; netherlands ; iran ; philippines ; italy ; indonesia ; switzerland ; cameroon ; canada ; brazil ; nigeria ; china ; bangladesh ; pakistan ; south africa ; russia ; germany ; new zealand ; united states ; bolivia ; austria ; el salvador ; oman ; united kingdom ; vietnam ; hong kong ; peru ; thailand ; turkey ; guinea ; mali ; tanzania ; sweden ; djibouti ; japan ; moldova ; mexico ; somalia ; georgia ; australia 	weight loss; loss of appetite; cough; coma; phlegm; fatigue; chills; chest pain; dehydration; breathlessness; itching; nausea; weight gain; vomiting; abdominal pain; back pain; muscle weakness; depression; sneezing; congestion	blood; respiratory; contact; food; urine; sex; oral; fomite
Anthrax	virus	croatia ; russia ; turkey ; finland ; united kingdom ; germany ; australia ; canada ; oman ; united states ; switzerland ; china ; israel ; iraq ; mexico ; brazil 	blister; muscle pain; loss of appetite; cough; headache; abdominal pain; fatigue; high fever; nausea; chills; vomiting; chest pain	blood; oral; respiratory; sex; food; contact
Tetanus	bacteria	guinea ; uganda ; oman ; united states ; brazil 	sweating; fast heart rate; headache; restlessness; irritability	blood; oral; fecal; animal bite; respiratory; sex; saliva
Leptospirosis	bacteria	india ; china ; guinea ; singapore ; new zealand ; united states 	muscle pain; loss of appetite; cough; headache; abdominal pain; diarrhoea; chills; nausea; dehydration; vomiting; muscle weakness; shivering; pain behind the eyes	blood; oral; respiratory; food; contact; urine
Pneumonia	virus	india ; china ; chile ; australia ; pakistan ; united states ; canada ; israel ; oman ; taiwan ; hong kong ; italy ; mexico ; ireland ; guinea ; hungary ; singapore ; france ; colombia ; iran 	joint pain; cough; phlegm; fatigue; abdominal pain; headache; obesity; chills; nausea; dehydration; vomiting; dizziness; chest pain; sweating; high fever; stiff neck; shivering; sneezing; acidity; family history; runny nose; loss of appetite; fast heart rate; weight loss; congestion; lethargy; depression; malaise	blood; oral; urine; respiratory; contact; sex; saliva; food
Cholera	bacteria	india ; china ; russia ; yemen ; zambia ; germany ; bangladesh ; zimbabwe ; singapore ; indonesia ; oman ; iran ; haiti ; united states ; philippines ; brazil ; nigeria ; mexico ; chad ; turkey ; sudan ; vietnam ; japan ; senegal ; canada ; sierra leone ; isle of man ; guinea ; ireland 	coma; sunken eyes; cramps; diarrhoea; dehydration; vomiting; abdominal pain	fecal; blood; oral; sex; food; contact; urine; respiratory
Botulism	bacteria	china ; ukraine ; ireland ; united kingdom ; australia ; united states ; canada 	constipation; fatigue; cramps; restlessness; nausea; lethargy; acidity; vomiting; muscle weakness	blood; respiratory; food; saliva; urine
Pseudomonas	bacteria	sudan ; iran ; united states ; china ; australia ; tanzania ; liberia 	coma; skin rash	blood; oral; food; contact; urine; respiratory
MRSA				
Escherichia coli	bacteria	germany ; egypt ; bangladesh ; japan ; united states ; australia 	belly pain; itching; cramps; diarrhoea; lethargy; dehydration; vomiting; loss of appetite; headache; nausea; chills	blood; oral; fecal; respiratory; food; urine; contact
